average_voltage,current_A,current_B,current_C
(12420.092225484734+0j),(52.46153846153846+0j),(53.46153846153846-120j),(54.53846153846154+120j)
(12425.876831066422+0j),(52.66666666666666+0j),(53.583333333333336-120j),(55.333333333333336+120j)
(12431.258560361368+0j),(52+0j),(53.21428571428572-120j),(54.285714285714285+120j)
(12424.385342871017+0j),(51.86666666666667+0j),(53.06666666666667-120j),(54.2+120j)
(12426.620724682492+0j),(51.53846153846154+0j),(52.30769230769231-120j),(53.92307692307692+120j)
(12435.085567859998+0j),(51.46666666666667+0j),(52.53333333333333-120j),(54+120j)
(12438.472689439242+0j),(52.2+0j),(53.06666666666667-120j),(54.53333333333333+120j)
(12435.047077842053+0j),(51.06666666666667+0j),(52.2-120j),(53.73333333333333+120j)
(12446.440123154061+0j),(51.13333333333333+0j),(52.2-120j),(53.8+120j)
(12455.672228887102+0j),(50.785714285714285+0j),(52.285714285714285-120j),(53.42857142857143+120j)
(12453.486545725169+0j),(50.57142857142857+0j),(52.07142857142857-120j),(53.07142857142857+120j)
(12450.39359785451+0j),(51.07142857142857+0j),(52.92857142857143-120j),(53.57142857142857+120j)
(12459.672441466486+0j),(51.21428571428572+0j),(52.57142857142857-120j),(53.57142857142857+120j)
(12472.941980895168+0j),(51.23076923076923+0j),(52.30769230769231-120j),(53.53846153846154+120j)
(12470.89904917342+0j),(51.15384615384615+0j),(52.15384615384615-120j),(53.15384615384615+120j)
(12466.10260078323+0j),(50.76923076923077+0j),(52.23076923076923-120j),(53.15384615384615+120j)
(12460.785902699923+0j),(52+0j),(53.42857142857143-120j),(54.35714285714285+120j)
(12466.064533732513+0j),(51.642857142857146+0j),(52.92857142857143-120j),(54.21428571428572+120j)
(12464.373722229886+0j),(51.85714285714285+0j),(53.21428571428572-120j),(54+120j)
(12468.417923401212+0j),(51.46666666666667+0j),(52.8-120j),(53.86666666666667+120j)
(12474.383876182837+0j),(51.86666666666667+0j),(53.13333333333333-120j),(54.53333333333333+120j)
(12477.605194607855+0j),(52.23076923076923+0j),(53.61538461538461-120j),(54.38461538461539+120j)
(12479.503048569652+0j),(51.53333333333333+0j),(52.66666666666666-120j),(53.53333333333333+120j)
(12465.033551108962+0j),(51.642857142857146+0j),(52.785714285714285-120j),(53.642857142857146+120j)
(12465.036723363188+0j),(51.92307692307692+0j),(52.46153846153846-120j),(53.61538461538461+120j)
(12469.226213778076+0j),(51.583333333333336+0j),(52.66666666666666-120j),(53.75+120j)
(12477.694017726191+0j),(51.61538461538461+0j),(53.23076923076923-120j),(53.76923076923077+120j)
(12476.939021220327+0j),(51.61538461538461+0j),(52.76923076923077-120j),(53.61538461538461+120j)
(12477.199146066887+0j),(51.57142857142857+0j),(52.85714285714285-120j),(54+120j)
(12479.887948749112+0j),(51.73333333333333+0j),(53.13333333333333-120j),(54.266666666666666+120j)
(12485.853901530738+0j),(51.8+0j),(53.13333333333333-120j),(53.73333333333333+120j)
(12490.51944156319+0j),(51.42857142857143+0j),(52.642857142857146-120j),(53.285714285714285+120j)
(12479.714743668355+0j),(51.57142857142857+0j),(52.85714285714285-120j),(53.35714285714285+120j)
(12476.423847133974+0j),(51.2+0j),(52.6-120j),(53.4+120j)
(12475.699534978083+0j),(50.81818181818182+0j),(52.09090909090909-120j),(53.45454545454545+120j)
(12470.724575190974+0j),(50.785714285714285+0j),(52.21428571428572-120j),(53.642857142857146+120j)
(12470.09223918186+0j),(50.91666666666666+0j),(51.91666666666666-120j),(52.91666666666666+120j)
(12446.888256934431+0j),(51.35714285714285+0j),(53-120j),(53.285714285714285+120j)
(12443.712830453886+0j),(51.142857142857146+0j),(53-120j),(53.07142857142857+120j)
(12448.648858030037+0j),(50.69230769230769+0j),(52-120j),(52.76923076923077+120j)
(12450.674025128117+0j),(50.86666666666667+0j),(52-120j),(52.86666666666667+120j)
(12451.012187428641+0j),(50.142857142857146+0j),(51.71428571428572-120j),(52.642857142857146+120j)
(12450.869435988458+0j),(50.61538461538461+0j),(52.30769230769231-120j),(53.23076923076923+120j)
(12454.022656689416+0j),(50.84615384615385+0j),(52.07692307692308-120j),(53.15384615384615+120j)
(12456.524507855904+0j),(51+0j),(52-120j),(53.083333333333336+120j)
(12450.158851041762+0j),(51+0j),(52.46153846153846-120j),(53.76923076923077+120j)
(12449.740642192926+0j),(50.833333333333336+0j),(52-120j),(53.333333333333336+120j)
(12447.776776504548+0j),(52.36363636363637+0j),(53.54545454545455-120j),(55.09090909090909+120j)
(12448.908982876592+0j),(54.785714285714285+0j),(56.35714285714285-120j),(57.21428571428572+120j)
(12445.439382687462+0j),(57.4+0j),(58.8-120j),(59.2+120j)
(12441.243970731353+0j),(58.4+0j),(59.4-120j),(60.266666666666666+120j)
(12454.407556868875+0j),(59.86666666666667+0j),(61.4-120j),(61.86666666666667+120j)
(12457.19808316996+0j),(61+0j),(62.785714285714285-120j),(63+120j)
(12455.218596532737+0j),(60.71428571428572+0j),(62.21428571428572-120j),(62.285714285714285+120j)
(12453.406816402281+0j),(59.93333333333333+0j),(60.93333333333333-120j),(61.73333333333333+120j)
(12438.973059672542+0j),(59.8+0j),(61.46666666666667-120j),(62.4+120j)
(12442.013771090273+0j),(59.6+0j),(61.06666666666667-120j),(61.6+120j)
(12450.289124948657+0j),(59+0j),(60.13333333333333-120j),(60.6+120j)
(12440.125010923923+0j),(58+0j),(59.642857142857146-120j),(60.21428571428572+120j)
(12425.278861144761+0j),(59.285714285714285+0j),(60.85714285714285-120j),(61.57142857142857+120j)
(12419.381640538038+0j),(60.93333333333333+0j),(62.333333333333336-120j),(62.8+120j)
(12415.739892686228+0j),(62.53846153846154+0j),(63.92307692307692-120j),(64.38461538461539+120j)
(12409.990076159222+0j),(62.2+0j),(64.06666666666666-120j),(64.53333333333333+120j)
(12424.990186010167+0j),(62.785714285714285+0j),(64.14285714285714-120j),(64.78571428571429+120j)
(12423.216895897654+0j),(63.142857142857146+0j),(64.78571428571429-120j),(65.28571428571429+120j)
(12411.067796661708+0j),(62.73333333333333+0j),(64.53333333333333-120j),(64.46666666666667+120j)
(12419.505358452867+0j),(63.642857142857146+0j),(65.28571428571429-120j),(65.78571428571429+120j)
(12414.144248810391+0j),(64.35714285714286+0j),(66.14285714285714-120j),(66.71428571428571+120j)
(12415.784304245395+0j),(64.53846153846153+0j),(65.61538461538461-120j),(66.23076923076923+120j)
(12410.102796926063+0j),(65.57142857142857+0j),(67-120j),(67.64285714285714+120j)
(12401.813696632698+0j),(65.28571428571429+0j),(66.57142857142857-120j),(67.35714285714286+120j)
(12394.599990522052+0j),(65.84615384615384+0j),(67.6923076923077-120j),(67.76923076923077+120j)
(12368.305386723729+0j),(67.93333333333334+0j),(69.86666666666666-120j),(70+120j)
(12358.404569799783+0j),(65.53846153846153+0j),(67.3076923076923-120j),(68.15384615384616+120j)
(12363.556310663322+0j),(68.07692307692308+0j),(70-120j),(70.53846153846153+120j)
(12361.646613619076+0j),(67.85714285714286+0j),(69.85714285714286-120j),(70.5+120j)
(12367.79127005545+0j),(67.14285714285714+0j),(68.85714285714286-120j),(69.42857142857143+120j)
(12371.017452603617+0j),(67.3076923076923+0j),(69.07692307692308-120j),(69.46153846153847+120j)
(12376.57524200812+0j),(68.64285714285714+0j),(70.28571428571429-120j),(70.64285714285714+120j)
(12375.725077875471+0j),(70+0j),(72-120j),(72.23076923076923+120j)
(12368.074446616054+0j),(71.73333333333333+0j),(73.33333333333333-120j),(73.93333333333334+120j)
(12361.316699179539+0j),(74.78571428571429+0j),(75.85714285714286-120j),(77.42857142857143+120j)
(12366.884005346725+0j),(77.07142857142857+0j),(79.07142857142857-120j),(80.28571428571429+120j)
(12359.381624101487+0j),(81.07692307692308+0j),(83.38461538461539-120j),(84.15384615384616+120j)
(12343.62503735937+0j),(82.21428571428571+0j),(84.21428571428571-120j),(85.64285714285714+120j)
(12341.769268636976+0j),(83.57142857142857+0j),(85.57142857142857-120j),(86.78571428571429+120j)
(12332.614142939827+0j),(84.42857142857143+0j),(86.5-120j),(87.21428571428571+120j)
(12338.635081461376+0j),(84.64285714285714+0j),(86.64285714285714-120j),(87.07142857142857+120j)
