time,building,gld_object,property,complex_value,double_value,anomaly
2022-09-15 18:15:00,main,msource,measured_power_A,(27.46701967451372+25.26715347561247j),N/A,1
2022-09-15 18:15:00,main,msource,measured_power_B,(9.33365311081839+24.533448099102518j),N/A,1
2022-09-15 18:15:00,main,msource,measured_power_C,(16.066582997894386+6.867088158422183j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_A,(12470.549008492146+0.10894799848620818j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_B,(-6235.2473280138865-10799.84331726868j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_C,(-6235.357156425862+10799.910840945364j),N/A,1
2022-09-15 18:20:00,main,msource,measured_current_A,(0.0021918986330138335-0.002084942056085337j),N/A,1
2022-09-15 18:20:00,main,msource,measured_current_B,(-0.002061733539449051+0.0004063440428581089j),N/A,1
2022-09-15 18:20:00,main,msource,measured_current_C,(-0.000176041794475168+0.0014168836059980094j),N/A,1
2022-09-15 18:20:00,main,msource,measured_power_A,(27.33395217438198+26.00061089324753j),N/A,1
2022-09-15 18:20:00,main,msource,measured_power_B,(8.466966547153223+24.80005479549292j),N/A,1
2022-09-15 18:20:00,main,msource,measured_power_C,(16.399900079786452+6.933539647870326j),N/A,1
2022-09-15 18:25:00,main,msource,measured_voltage_A,(12470.548634335217+0.1089424726305017j),N/A,1
2022-09-15 18:25:00,main,msource,measured_voltage_B,(-6235.2476602307825-10799.843000311288j),N/A,1
2022-09-15 18:25:00,main,msource,measured_voltage_C,(-6235.357038276953+10799.910699436046j),N/A,1
2022-09-15 18:25:00,main,msource,measured_current_A,(0.002186522035513283-0.002063558351833583j),N/A,1
2022-09-15 18:25:00,main,msource,measured_current_B,(-0.0020464267436182126+0.00042223291529808193j),N/A,1
2022-09-15 18:25:00,main,msource,measured_current_C,(-0.0002162960299756378+0.0013689532352145761j),N/A,1
2022-09-15 18:25:00,main,msource,measured_power_A,(27.266904574764766+25.733942991446334j),N/A,1
2022-09-15 18:25:00,main,msource,measured_power_B,(8.19992837019614+24.733814339899762j),N/A,1
2022-09-15 18:25:00,main,msource,measured_power_C,(16.133255664881446+6.199934381887783j),N/A,1
2022-09-15 18:30:00,main,msource,measured_voltage_A,(12470.549388021276+0.1090342871216771j),N/A,1
2022-09-15 18:30:00,main,msource,measured_voltage_B,(-6235.246877252565-10799.843437629175j),N/A,1
2022-09-15 18:30:00,main,msource,measured_voltage_C,(-6235.357421825177+10799.91064432077j),N/A,1
2022-09-15 18:30:00,main,msource,measured_current_A,(0.0022239324770634283-0.0020154399116290023j),N/A,1
2022-09-15 18:30:00,main,msource,measured_current_B,(-0.002081551429000683+0.00027582245820667595j),N/A,1
2022-09-15 18:30:00,main,msource,measured_current_C,(-0.00017090314941015095+0.00145072590385098j),N/A,1
2022-09-15 18:30:00,main,msource,measured_power_A,(27.733440038789976+25.133885441450953j),N/A,1
2022-09-15 18:30:00,main,msource,measured_power_B,(10.000147682303009+24.200250661789962j),N/A,1
2022-09-15 18:30:00,main,msource,measured_power_C,(16.73335235207995+7.200055789148615j),N/A,1
2022-09-15 18:35:00,main,msource,measured_voltage_A,(12470.54932134611+0.10903079832742316j),N/A,1
2022-09-15 18:35:00,main,msource,measured_voltage_B,(-6235.24691167728-10799.843204821871j),N/A,1
2022-09-15 18:35:00,main,msource,measured_voltage_C,(-6235.357378886926+10799.910608995397j),N/A,1
2022-09-15 18:35:00,main,msource,measured_current_A,(0.002191864033884716-0.0020261540992216887j),N/A,1
2022-09-15 18:35:00,main,msource,measured_current_B,(-0.0020288007362978533+0.0003564764483598992j),N/A,1
2022-09-15 18:35:00,main,msource,measured_current_C,(-0.00017799720808397979+0.0014095803635427728j),N/A,1
